CodDis	NomDis
1078	CONCHUCOS
1079	EMILIO SAN MARTIN
1080	PASTAZA
1081	COLQUEMARCA
1082	CALAPUJA
1083	HUAYLLAY
1084	IHUARI
1085	CULEBRAS
1086	SUYCKUTAMBO
1087	CAPACHICA
1088	SINCOS
1089	HUACRACHUCO
1090	MATARA
1091	CHOCOS
1092	MARISCAL BENAVIDES
1093	ACOCRO
1094	SUITUCANCHA
1095	SAN JUAN DE SALINAS
1096	TINTAY
1097	PILPICHACA
1098	CAHUAPANAS
1099	INGENIO
1100	YACUS
1101	MUSGA
1102	PUTINZA
1103	SANTA CRUZ DE TOLED
1104	YUPAN
1105	LLAPO
1106	PUERTO INCA
1107	SAN JUAN BAUTISTA
1108	SAN ANTONIO
1109	TUMBES
1110	ASCOPE
1111	TINTA
1112	CHEPEN
1113	RIO GRANDE
1114	QUICHES
1115	ARAPA
1116	CHARACATO
1117	SAN PEDRO DE CORIS
1118	JAQUI
1119	HUANCARAY
1120	ICHUPAMPA
1121	MACHUPICCHU
1122	SANTO DOMINGO
1123	LLATA
1124	CHAMACA
1125	MARAS
1126	CALANA
1127	ACOLLA
1128	COLQUEPATA
1129	HUANCARAMA
1130	ALCA
1131	PACOBAMBA
1132	PAPAYAL
1133	BALSAS
1134	HUAROCONDO
1135	KAQUIABAMBA
1136	HUALLAGA
1137	JACAS GRANDE
1138	YANACA
1139	COCHAS
1140	PINTO RECODO
1141	CATACHE
1142	CHALAMARCA
1143	MOLINOPAMPA
1144	NIEPOS
1145	EL TALLAN
1146	PILLPINTO
1147	COCHAMARCA
1148	CHOCO
1149	SEXI
1150	SITAJARA
1151	PILCOMAYO
1152	HUANCAVELICA
1153	SICUANI
1154	CONSTITUCION
1155	YURIMAGUAS
1156	CAMANTI
1157	POROY
1158	CHONGOYAPE
1159	YAUTAN
1160	GROCIO PRADO
1161	CABANACONDE
1162	CASHAPAMPA
1163	CONTUMAZA
1164	TIPAN
1165	SAN JUAN DE LA VIRGEN
1166	COVIRIALI
1167	CHAMBARA
1168	SAN MARCOS
1169	PACCHA
1170	CUPISNIQUE
1171	CHUGAY
1172	PAMPAMARCA
1173	LANGA
1174	MARCABAL
1175	HUERTAS
1176	SAN CARLOS
1177	CHUQUIS
1178	CAMPOVERDE
1179	PACHACONAS
1180	SINSICAP
1181	TOMAS
1182	MAGDALENA DE CAO
1183	YURUA
1184	SAN PEDRO DE PUTINA PUNCU
1185	PHARA
1186	ARANCAY
1187	HUANDOVAL
1188	HUANCAPON
1189	COAYLLO
1190	SAYLA
1191	PATAMBUCO
1192	CUISPES
1193	MACHAGUAY
1194	CUTURAPI
1195	JAEN
1196	MIRAFLORES
1197	HUANCARQUI
1198	YANAHUARA
1199	ECHARATE
1200	BREÑA
1201	MOYOBAMBA
1202	SAN IGNACIO
1203	RAMON CASTILLA
1204	SANTA ROSA
1205	CASMA
1206	ASCENSION
1207	CHUPA
1208	SAN PABLO
1209	CARHUAMAYO
1210	AHUAYCHA
1211	TAMBO
1212	YAUCA
1213	PAMPACHIRI
1214	MORROPON
1215	ALLAUCA
1216	CHONTABAMBA
1217	PALPA
1218	YANAMA
1219	SANTA MARIA DE CHICMO
1220	LAMPIAN
1221	TICLACAYAN
1222	MATAPALO
1223	LAMAS
1224	HUANCANO
1225	SAN SALVADOR
1226	EL ORO
1227	COCAS
1228	HUAMPARA
1229	PUYUSCA
1230	CHINGAS
1231	POCOHUANCA
1232	ASUNCION
1233	ALBERTO LEVEAU
1234	COCHAMAL
1235	PARARCA
1236	SAÑAYCA
1237	HUAYO
1238	SAN ANTONIO DE CUSICANCHA
1239	ZUÑIGA
1240	LEONOR ORDOÑEZ
1241	ESTIQUE PAMPA
1242	SAN JOAQUIN
1243	IQUITOS
1244	SAN MARTIN DE PORRES
1245	LA PERLA
1246	SAN ISIDRO
1247	LLOCHEGUA
1248	POMABAMBA
1249	CATACAOS
1250	MAZAMARI
1251	JOSE LEONARDO ORTIZ
1252	APLAO
1253	RIO TAMBO
1254	FERREÑAFE
1255	MORALES
1256	SAN CLEMENTE
1257	OYOLO
1258	CHAO
1259	PACOCHA
1260	BOLIVAR
1261	TAMBO GRANDE
1262	HUALGAYOC
1263	MARCAVELICA
1264	QUICHUAY
1265	HUAYLILLAS
1266	PAZOS
1267	PAUCARA
1268	MASMA
1269	PAIMAS
1270	SANTA CRUZ
1271	SAN PEDRO DE HUACARPANA
1272	MARCONA
1273	QUEROBAMBA
1274	COLCAMAR
1275	LAJAS
1276	TIQUILLACA
1277	ACOS VINCHOS
1278	LONGOTEA
1279	JEPELACIO
1280	LUYA
1281	HUARO
1282	RAGASH
1283	HUARICOLCA
1284	LA MATANZA
1285	SAN JUAN DE TARUCANI
1286	IPARIA
1287	PROGRESO
1288	SACSAMARCA
1289	SHILLA
1290	PACCARITAMBO
1291	TAPAIRIHUA
1292	MACHE
1293	MARIATANA
1294	ROBLE
1295	HUANTAN
